 Format                 IAGA-2002                                    |
 Source of Data         United States Geological Survey (USGS)       |
 Station Name           Boulder                                      |
 IAGA CODE              BOU                                          |
 Geodetic Latitude      40.137                                       |
 Geodetic Longitude     254.763                                      |
 Elevation              1682                                         |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.01 second                                  |
 Data Interval Type     filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # DECBAS               5527                                         |
 #                                                                   |
 # Request: /ws/edge/?id=BOU&starttime=2018-01-17                    |
 # Request submitted: 2018-01-21T18:03:55Z                           |
 # Service URL: http://geomag.usgs.gov/ws/edge/                      |
 # Service version: 0.3.4                                            |
DATE       TIME         DOY     BOUX      BOUY      BOUZ      BOUF   |
2018-01-17 04:57:00.000 017     20565.47   3318.60  47103.09  52025.73
2018-01-17 04:58:00.000 017     20565.50   3318.53  47103.10  52025.74
2018-01-17 04:59:00.000 017     20565.43   3318.35  47103.15  52025.74
2018-01-17 05:00:00.000 017     20565.33   3318.25  47103.12  52025.67
2018-01-17 05:01:00.000 017     20565.21   3318.35  47103.07  52025.59
2018-01-17 05:02:00.000 017     20565.25   3318.35  47103.05  52025.60
2018-01-17 05:03:00.000 017     20565.28   3318.39  47103.03  52025.59
2018-01-17 05:04:00.000 017     20565.17   3318.42  47103.02  52025.56
2018-01-17 05:05:00.000 017     20565.18   3318.50  47103.01  52025.55
2018-01-17 05:06:00.000 017     20565.11   3318.62  47103.02  52025.52
2018-01-17 05:07:00.000 017     20564.97   3318.63  47103.05  52025.49
2018-01-17 05:08:00.000 017     20564.93   3318.56  47103.05  52025.48
2018-01-17 05:09:00.000 017     20564.94   3318.51  47103.05  52025.47
2018-01-17 05:10:00.000 017     20564.96   3318.42  47103.04  52025.48
2018-01-17 05:11:00.000 017     20564.96   3318.35  47103.02  52025.46
2018-01-17 05:12:00.000 017     20564.99   3318.33  47102.96  52025.43
2018-01-17 05:13:00.000 017     20564.88   3318.26  47103.00  52025.42
2018-01-17 05:14:00.000 017     20564.77   3318.14  47103.01  52025.37
2018-01-17 05:15:00.000 017     20564.70   3318.03  47102.99  52025.33
2018-01-17 05:16:00.000 017     20564.52   3318.00  47102.98  52025.24
2018-01-17 05:17:00.000 017     20564.49   3317.92  47102.97  52025.20
2018-01-17 05:18:00.000 017     20564.46   3317.92  47102.90  52025.14
2018-01-17 05:19:00.000 017     20564.31   3318.01  47102.91  52025.08
2018-01-17 05:20:00.000 017     20564.29   3317.80  47102.95  52025.10
2018-01-17 05:21:00.000 017     20564.17   3317.84  47102.89  52025.01
2018-01-17 05:22:00.000 017     20564.24   3317.87  47102.87  52025.02
2018-01-17 05:23:00.000 017     20564.17   3317.89  47102.89  52025.01
2018-01-17 05:24:00.000 017     20564.23   3317.86  47102.87  52025.01
2018-01-17 05:25:00.000 017     20564.20   3317.81  47102.88  52025.01
2018-01-17 05:26:00.000 017     20564.10   3317.77  47102.88  52024.97
2018-01-17 05:27:00.000 017     20564.05   3317.86  47102.87  52024.95
2018-01-17 05:28:00.000 017     20564.14   3317.97  47102.88  52024.99
2018-01-17 05:29:00.000 017     20564.24   3317.96  47102.89  52025.04
2018-01-17 05:30:00.000 017     20564.37   3317.97  47102.90  52025.09
2018-01-17 05:31:00.000 017     20564.56   3317.97  47102.89  52025.16
2018-01-17 05:32:00.000 017     20564.68   3317.98  47102.87  52025.20
2018-01-17 05:33:00.000 017     20564.69   3317.92  47102.90  52025.23
2018-01-17 05:34:00.000 017     20564.63   3317.91  47102.90  52025.19
2018-01-17 05:35:00.000 017     20564.59   3318.02  47102.90  52025.18
